"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"

"Queso Fresco 200g","1000000000001","Bebidas","2027-02-02","La Granja","3.75","2"

"Yogurt 300g","1000000000002","Panaderia","2027-03-03","Coca Cola","4.5","3"

"Coca Cola 400g","1000000000003","Snacks","2027-04-04","Pepsi","5.25","4"

"Pepsi 500g","1000000000004","Enlatados","2027-05-05","Bimbo","6.0","5"

"Pan Blanco 100g","1000000000005","Granos","2027-06-06","Lays","6.75","6"

"Pan Integral 200g","1000000000006","Lacteos","2027-07-07","Tortrix","7.5","7"

"Papas Fritas 300g","1000000000007","Bebidas","2027-08-08","Ducal","8.25","8"

"Tortrix 400g","1000000000008","Panaderia","2027-09-09","Sardimar","9.0","9"

"Atun en Lata 500g","1000000000009","Snacks","2027-10-10","Gallo Dorado","9.75","10"

"Frijoles Volteados 100g","1000000000010","Enlatados","2027-11-11","Dos Pinos","10.5","11"

"Arroz 200g","1000000000011","Granos","2027-12-12","La Granja","11.25","12"

"Azúcar 300g","1000000000012","Lacteos","2027-01-13","Coca Cola","12.0","13"

"Café 400g","1000000000013","Bebidas","2027-02-14","Pepsi","12.75","14"

"Agua Pura 500g","1000000000014","Panaderia","2027-03-15","Bimbo","13.5","15"

"Jugo 100g","1000000000015","Snacks","2027-04-16","Lays","14.25","16"

"Leche Entera 200g","1000000000016","Enlatados","2027-05-17","Tortrix","15.0","17"

"Queso Fresco 300g","1000000000017","Granos","2027-06-18","Ducal","15.75","18"

"Yogurt 400g","1000000000018","Lacteos","2027-07-19","Sardimar","16.5","19"

"Coca Cola 500g","1000000000019","Bebidas","2027-08-20","Gallo Dorado","17.25","20"

"Pepsi 100g","1000000000020","Panaderia","2027-09-21","Dos Pinos","18.0","21"

"Pan Blanco 200g","1000000000021","Snacks","2027-10-22","La Granja","18.75","22"

"Pan Integral 300g","1000000000022","Enlatados","2027-11-23","Coca Cola","19.5","23"

"Papas Fritas 400g","1000000000023","Granos","2027-12-24","Pepsi","20.25","24"

"Tortrix 500g","1000000000024","Lacteos","2027-01-25","Bimbo","21.0","25"

"Atun en Lata 100g","1000000000025","Bebidas","2027-02-26","Lays","21.75","26"

"Frijoles Volteados 200g","1000000000026","Panaderia","2027-03-27","Tortrix","22.5","27"

"Arroz 300g","1000000000027","Snacks","2027-04-28","Ducal","23.25","28"

"Azúcar 400g","1000000000028","Enlatados","2027-05-01","Sardimar","24.0","29"

"Café 500g","1000000000029","Granos","2027-06-02","Gallo Dorado","24.75","30"

"Agua Pura 100g","1000000000030","Lacteos","2027-07-03","Dos Pinos","25.5","31"

"Jugo 200g","1000000000031","Bebidas","2027-08-04","La Granja","26.25","32"

"Leche Entera 300g","1000000000032","Panaderia","2027-09-05","Coca Cola","27.0","33"

"Queso Fresco 400g","1000000000033","Snacks","2027-10-06","Pepsi","27.75","34"

"Yogurt 500g","1000000000034","Enlatados","2027-11-07","Bimbo","28.5","35"

"Coca Cola 100g","1000000000035","Granos","2027-12-08","Lays","29.25","36"

"Pepsi 200g","1000000000036","Lacteos","2027-01-09","Tortrix","30.0","37"

"Pan Blanco 300g","1000000000037","Bebidas","2027-02-10","Ducal","30.75","38"

"Pan Integral 400g","1000000000038","Panaderia","2027-03-11","Sardimar","31.5","39"

"Papas Fritas 500g","1000000000039","Snacks","2027-04-12","Gallo Dorado","32.25","40"

"Tortrix 100g","1000000000040","Enlatados","2027-05-13","Dos Pinos","33.0","41"

"Atun en Lata 200g","1000000000041","Granos","2027-06-14","La Granja","33.75","42"

"Frijoles Volteados 300g","1000000000042","Lacteos","2027-07-15","Coca Cola","34.5","43"

"Arroz 400g","1000000000043","Bebidas","2027-08-16","Pepsi","35.25","44"

"Azúcar 500g","1000000000044","Panaderia","2027-09-17","Bimbo","36.0","45"

"Café 100g","1000000000045","Snacks","2027-10-18","Lays","36.75","46"

"Agua Pura 200g","1000000000046","Enlatados","2027-11-19","Tortrix","37.5","47"

"Jugo 300g","1000000000047","Granos","2027-12-20","Ducal","38.25","48"

"Leche Entera 400g","1000000000048","Lacteos","2027-01-21","Sardimar","39.0","49"

"Queso Fresco 500g","1000000000049","Bebidas","2027-02-22","Gallo Dorado","39.75","50"

"Yogurt 100g","1000000000050","Panaderia","2027-03-23","Dos Pinos","3.0","51"

"Coca Cola 200g","1000000000051","Snacks","2027-04-24","La Granja","3.75","52"

"Pepsi 300g","1000000000052","Enlatados","2027-05-25","Coca Cola","4.5","53"

"Pan Blanco 400g","1000000000053","Granos","2027-06-26","Pepsi","5.25","54"

"Pan Integral 500g","1000000000054","Lacteos","2027-07-27","Bimbo","6.0","55"

"Papas Fritas 100g","1000000000055","Bebidas","2027-08-28","Lays","6.75","56"

"Tortrix 200g","1000000000056","Panaderia","2027-09-01","Tortrix","7.5","57"

"Atun en Lata 300g","1000000000057","Snacks","2027-10-02","Ducal","8.25","58"

"Frijoles Volteados 400g","1000000000058","Enlatados","2027-11-03","Sardimar","9.0","59"

"Arroz 500g","1000000000059","Granos","2027-12-04","Gallo Dorado","9.75","60"

"Azúcar 100g","1000000000060","Lacteos","2027-01-05","Dos Pinos","10.5","61"

"Café 200g","1000000000061","Bebidas","2027-02-06","La Granja","11.25","62"

"Agua Pura 300g","1000000000062","Panaderia","2027-03-07","Coca Cola","12.0","63"

"Jugo 400g","1000000000063","Snacks","2027-04-08","Pepsi","12.75","64"

"Leche Entera 500g","1000000000064","Enlatados","2027-05-09","Bimbo","13.5","65"

"Queso Fresco 100g","1000000000065","Granos","2027-06-10","Lays","14.25","66"

"Yogurt 200g","1000000000066","Lacteos","2027-07-11","Tortrix","15.0","67"

"Coca Cola 300g","1000000000067","Bebidas","2027-08-12","Ducal","15.75","68"

"Pepsi 400g","1000000000068","Panaderia","2027-09-13","Sardimar","16.5","69"

"Pan Blanco 500g","1000000000069","Snacks","2027-10-14","Gallo Dorado","17.25","70"

